epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.471,1.2239,2.20411,1.41521,0.42182,0.44356,0.37757,0.16572,1.75561,5.64185,1.9887,0.00053979,0.00053979,0.00053979
2,754.739,1.39164,1.88831,1.56889,0.32884,0.33428,0.27,0.11233,2.07916,6.13432,2.47564,0.00105931,0.00105931,0.00105931
3,1127.5,1.6081,2.02552,1.73879,0.11756,0.23922,0.07761,0.02756,2.25171,20.0181,2.83406,0.00154215,0.00154215,0.00154215
4,1501.79,1.59296,2.12723,1.75385,0.11508,0.14274,0.08866,0.04327,2.0429,9.87224,2.67327,0.00150197,0.00150197,0.00150197
5,1874.81,1.59366,1.9778,1.72561,0.19524,0.31444,0.14752,0.06236,1.98868,6.68957,2.38978,0.00144696,0.00144696,0.00144696
