epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8584,2.38076,3.05697,2.15234,0.00256,0.18432,0.00176,0.0005,3.57492,232.064,7.2894,0.0702143,0.00330952,0.00330952
2,84.6512,2.53591,3.13044,2.33744,0.00598,0.24698,0.00389,0.00115,3.14768,10.5047,3.82566,0.0395863,0.00601486,0.00601486
3,124.186,2.36879,3.09041,2.18136,0.04092,0.13812,0.01679,0.00503,2.89173,5.0599,2.79786,0.00680206,0.00656397,0.00656397
4,163.056,2.32683,3.02141,2.1133,0.0654,0.1852,0.03304,0.01069,2.53812,3.6202,2.35598,0.00352037,0.00352037,0.00352037
5,200.962,2.20714,2.90069,2.03136,0.07769,0.26309,0.04839,0.0162,2.40741,3.39489,2.1991,0.00104537,0.00104537,0.00104537
